Den       Prs_G1.5  Eng_G1.5  Prs_G2.0  Eng_G2.0  Prs_G2.5  Eng_G2.5  Prs_G3.0  Eng_G3.0  Prs_G3.5  Eng_G3.5  Prs_G4.0  Eng_G4.0  Prs_G4.5  Eng_G4.5  
5.97e-15  5.61e-12  2.54e-22  5.61e-12  2.54e-22  5.61e-12  2.54e-22  5.61e-12  2.54e-22  5.61e-12  2.54e-22  5.61e-12  2.54e-22  5.61e-12  2.54e-22  
1.91e-14  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  1.79e-11  2.94e-20  
3.84e-14  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  3.61e-11  2.09e-19  
1.55e-13  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  1.46e-10  5.54e-18  
3.11e-13  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  2.92e-10  2.38e-17  
6.25e-13  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  5.88e-10  9.50e-17  
2.52e-12  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  2.37e-09  1.31e-15  
5.07e-12  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  4.77e-09  4.63e-15  
2.05e-11  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  1.92e-08  5.45e-14  
4.11e-11  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  3.87e-08  1.83e-13  
1.32e-10  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  1.24e-07  1.35e-12  
2.65e-10  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  2.49e-07  4.42e-12  
5.31e-10  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  4.99e-07  1.44e-11  
2.15e-09  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  0.000002  1.22e-10  
4.31e-09  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  0.000004  3.38e-10  
