Den       Rad_G1.5  Mas_G1.5  SOS_G1.5  Rad_G2.0  Mas_G2.0  SOS_G2.0  Rad_G2.5  Mas_G2.5  SOS_G2.5  Rad_G3.0  Mas_G3.0  SOS_G3.0  Rad_G3.5  Mas_G3.5  SOS_G3.5  Rad_G4.0  Mas_G4.0  SOS_G4.0  Rad_G4.5  Mas_G4.5  SOS_G4.5  
0.069670  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  0.868200  2332.000  0.000000  
0.129300  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  0.106200  30.44000  0.102400  
0.189000  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  0.214000  14.14000  0.239300  
0.248700  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  0.384100  12.15000  0.316800  
0.308300  0.607700  11.77000  0.402300  0.607700  11.77000  0.402300  0.607700  11.77000  0.402300  0.607700  11.77000  0.402300  0.607700  11.77000  0.402300  0.607700  11.77000  0.402300  0.607700  11.77000  0.402300  
0.368000  0.983600  11.81000  0.610400  0.983600  11.81000  0.610400  0.983600  11.81000  0.610400  0.983600  11.81000  0.610400  0.983600  11.81000  0.610400  0.983600  11.81000  0.610400  0.983600  11.81000  0.610400  
0.427700  1.452600  12.06000  0.847100  1.451400  12.06000  0.832200  1.450900  12.06000  0.819700  1.452100  12.06000  0.812600  1.453900  12.06000  0.817200  1.448400  12.06000  0.795900  1.445900  12.06000  0.779900  
0.487300  1.795800  12.22000  0.504800  1.808100  12.21000  0.582200  1.823700  12.21000  0.654700  1.841200  12.21000  0.727400  1.859800  12.22000  0.806000  1.874200  12.22000  0.871600  1.889000  12.22000  0.936200  
0.547000  1.892300  12.21000  0.515600  1.942100  12.20000  0.613300  1.997400  12.20000  0.707400  2.055400  12.20000  0.802000  2.115300  12.21000  0.903700  2.178300  12.21000  0.991300  2.242500  12.22000  1.079300  
0.606700  1.954100  12.17000  0.522800  2.032200  12.14000  0.636000  2.118100  12.13000  0.748100  2.208600  12.11000  0.860800  2.301200  12.10000  0.975100  2.394700  12.10000  1.091200  2.487300  12.10000  nan       
0.666300  1.993100  12.09000  0.528300  2.092300  12.04000  0.653600  2.200800  11.99000  0.780800  2.313400  11.96000  0.911100  2.425900  11.93000  1.044800  2.535400  11.91000  nan       2.639200  11.90000  nan       
0.726000  2.016900  12.01000  0.533300  2.131500  11.91000  0.669700  2.255700  11.84000  0.810500  2.382000  11.78000  0.956500  2.504100  11.73000  nan       2.618000  11.69000  nan       2.720500  11.65000  nan       
0.785700  2.030200  11.91000  0.537900  2.155800  11.78000  0.684200  2.290400  11.67000  0.837400  2.423800  11.58000  0.997100  2.548000  11.51000  nan       2.658600  11.45000  nan       2.753200  11.40000  nan       
0.845300  2.036000  11.80000  0.542000  2.169300  11.64000  0.697600  2.310200  11.50000  0.861800  2.445800  11.38000  1.033400  2.567200  11.29000  nan       2.670300  11.21000  nan       2.754100  11.15000  nan       
0.905000  2.036600  11.70000  0.545800  2.174900  11.50000  0.709600  2.318900  11.32000  0.883700  2.453300  11.19000  nan       2.568900  11.08000  nan       2.662700  10.98000  nan       2.735500  10.91000  nan       
0.964700  2.033400  11.60000  0.549200  2.174700  11.36000  0.720700  2.319400  11.16000  0.903600  2.450300  11.00000  nan       2.558600  10.87000  nan       2.642700  10.77000  nan       2.705700  10.70000  nan       
1.024000  2.027400  11.50000  0.552400  2.170200  11.22000  0.730900  2.313800  10.99000  0.921500  2.439800  10.81000  nan       2.540000  10.67000  nan       2.615100  10.57000  nan       2.670000  10.50000  nan       
1.084000  2.019400  11.40000  0.555600  2.162400  11.08000  0.740900  2.303800  10.83000  0.939200  2.424000  10.64000  nan       2.516200  10.49000  nan       2.583300  10.39000  nan       2.631900  10.33000  nan       
1.144000  2.009900  11.31000  0.559200  2.152300  10.96000  0.752100  2.290500  10.68000  0.959400  2.404500  10.47000  nan       2.489200  10.32000  nan       2.549600  10.23000  nan       2.593800  10.18000  nan       
1.203000  1.999400  11.22000  0.563100  2.140400  10.83000  0.764500  2.274800  10.54000  0.982000  2.382500  10.31000  nan       2.460400  10.17000  nan       2.515500  10.08000  nan       2.557000  10.05000  nan       
1.263000  1.988100  11.13000  0.567400  2.127200  10.72000  0.778100  2.257400  10.40000  1.007200  2.359000  10.17000  nan       2.430900  10.03000  nan       2.481900  9.950000  nan       2.522300  9.937000  nan       
1.323000  1.976400  11.04000  0.572100  2.113100  10.60000  0.792900  2.238900  10.27000  nan       2.334700  10.03000  nan       2.401400  9.896000  nan       2.449700  9.833000  nan       2.490100  9.838000  nan       
1.382000  1.964300  10.96000  0.577300  2.098300  10.49000  0.809000  2.219700  10.14000  nan       2.310000  9.910000  nan       2.372400  9.778000  nan       2.419100  9.731000  nan       2.460800  9.755000  nan       
1.442000  1.952000  10.88000  0.582800  2.083200  10.39000  0.826400  2.200000  10.03000  nan       2.285300  9.793000  nan       2.344400  9.671000  nan       2.390400  9.642000  nan       2.434200  9.687000  nan       
1.502000  1.939700  10.80000  0.588900  2.067700  10.29000  0.845100  2.180200  9.918000  nan       2.260900  9.685000  nan       2.317400  9.574000  nan       2.363700  9.563000  nan       2.410400  9.630000  nan       
1.561000  1.927300  10.73000  0.595400  2.052200  10.19000  0.865100  2.160400  9.815000  nan       2.237100  9.587000  nan       2.291700  9.489000  nan       2.339100  9.497000  nan       2.389200  9.581000  nan       
1.621000  1.915000  10.66000  0.602300  2.036600  10.10000  0.886300  2.140700  9.716000  nan       2.213900  9.493000  nan       2.267400  9.409000  nan       2.316500  9.436000  nan       2.370500  9.540000  nan       
1.681000  1.902700  10.59000  0.609800  2.021200  10.01000  0.908900  2.121300  9.622000  nan       2.191400  9.407000  nan       2.244500  9.340000  nan       2.295800  9.386000  nan       2.354000  9.507000  nan       
1.740000  1.890700  10.53000  0.617700  2.005800  9.931000  0.932800  2.102200  9.535000  nan       2.169800  9.328000  nan       2.222900  9.277000  nan       2.277100  9.343000  nan       2.339600  9.483000  nan       
1.800000  1.878700  10.47000  0.626200  1.990600  9.851000  0.958000  2.083600  9.456000  nan       2.149100  9.257000  nan       2.202900  9.222000  nan       2.260200  9.306000  nan       2.327200  9.461000  nan       
